	Centranthus_macrosiphon	Centranthus_ruber	Fedia_cornucopiae	Nardostachys_jatamansi	Patrinia_gibbosa	Patrinia_scabiosifolia	Patrinia_triloba	Patrinia_villosa	Plectritis_brachystemon	Plectritis_congesta	Plectritis_macrocera	Triplostegia_glandulifera	Valeriana_acutiloba	Valeriana_adscendens	Valeriana_albonervata	Valeriana_apiifolia	Valeriana_arborea	Valeriana_aretioides	Valeriana_arizonica	Valeriana_barbareifolia	Valeriana_bracteata	Valeriana_bryophila	Valeriana_bulbosa	Valeriana_californica	Valeriana_candolleana	Valeriana_celtica	Valeriana_ceratophylla	Valeriana_chaerophylloides	Valeriana_clematitis	Valeriana_coarctata	Valeriana_connata	Valeriana_decussata_subsp_polemonioides	Valeriana_densiflora	Valeriana_dioica	Valeriana_edulis	Valeriana_fauriei	Valeriana_flaccidissima	Valeriana_gallinae	Valeriana_henrici	Valeriana_hirtella	Valeriana_interrupta	Valeriana_kawakamii	Valeriana_laurifolia	Valeriana_mexicana	Valeriana_microphylla	Valeriana_minutiflora	Valeriana_montana	Valeriana_naidae	Valeriana_niphobia	Valeriana_nivalis	Valeriana_occidentalis	Valeriana_officinalis	Valeriana_palmeri	Valeriana_pauciflora	Valeriana_pilosa	Valeriana_pinnatifida	Valeriana_plantaginea	Valeriana_prionophylla	Valeriana_procera	Valeriana_pyramidalis	Valeriana_pyrenaica	Valeriana_rigida	Valeriana_robertianifolia	Valeriana_rumicoides	Valeriana_rzedowskiorum	Valeriana_scandens	Valeriana_scouleri	Valeriana_secunda	Valeriana_selerorum	Valeriana_sitchensis	Valeriana_sorbifolia	Valeriana_stenophylla	Valeriana_stenoptera	Valeriana_supina	Valeriana_tanacetifolia	Valeriana_texana	Valeriana_tomentosa	Valeriana_trichostoma	Valeriana_triphylla	Valeriana_tripteris	Valeriana_urticifolia	Valeriana_wallrothii	Valerianella_locusta	Valerianella_coronata	Valerianella_dentata	Valerianella_eriocarpa	Valerianella_pumila	Valerianella_vesicaria
10 millas sur de McCall	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10 millas suroeste de Lowman	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10-15 km de Sigchos a lo largo del Rio Toachi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11 km N de Ventilla a lo largo del Rio Choquekkota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11 millas N de Sutherland, Rio Umpqua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
112 km de Cusco en el camino de las ruinas de Machu-picchu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12 millas suoeste de Leadore, Montañas Lemhi 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125 km E de Patricia Pilar 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125 millas W de Middle 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13 km N de Arriaga a lo largo de la via Mexicana 195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
